DATE,BOPGSTB
10/1/2014,-40752
11/1/2014,-40087
12/1/2014,-43374
1/1/2015,-40785
2/1/2015,-35456
3/1/2015,-49502
4/1/2015,-41201
5/1/2015,-38643
6/1/2015,-42246
7/1/2015,-40810
8/1/2015,-44358
9/1/2015,-42282
10/1/2015,-41253
11/1/2015,-40700
12/1/2015,-41288
1/1/2016,-41957
2/1/2016,-45224
3/1/2016,-38454
4/1/2016,-38922
5/1/2016,-40372
6/1/2016,-43856
7/1/2016,-41360
8/1/2016,-41681
9/1/2016,-39049
10/1/2016,-42002
11/1/2016,-46631
12/1/2016,-43475
1/1/2017,-46417
2/1/2017,-43103
3/1/2017,-44531
4/1/2017,-47384
5/1/2017,-46684
6/1/2017,-45609
7/1/2017,-44162
8/1/2017,-43689
9/1/2017,-43571
10/1/2017,-45478
11/1/2017,-49120
12/1/2017,-50376
1/1/2018,-52113
2/1/2018,-53818
3/1/2018,-47177
4/1/2018,-48218
5/1/2018,-44352
6/1/2018,-47431
7/1/2018,-52442
8/1/2018,-54889
9/1/2018,-56094
10/1/2018,-56692
11/1/2018,-53647
12/1/2018,-60807
1/1/2019,-53141
